================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  ADELPHRÈDE, ADELPHRIDE ou ÉDELPHRIDE.txt | 21 mots | 146 car. | ALERTE: très court
  BASSEVELDE (VAN).txt | 19 mots | 120 car. | ALERTE: très court

--- DÉTAIL COMPLET ---
  ABBÉ (Henri).txt | 135 mots | 800 car. | OK
  ABEETS (A.-F.).txt | 65 mots | 447 car. | OK
  ABEL (Saint).txt | 657 mots | 3944 car. | OK
  ABLYEN (Corneille).txt | 269 mots | 1671 car. | OK
  ABRAHAM (Jean).txt | 120 mots | 758 car. | OK
  ABRAHAMS (Gérard), ou ABRAHAM, dit Lekkerbeetjen (friand morceau).txt | 209 mots | 1310 car. | OK
  ABSALON.txt | 170 mots | 1043 car. | OK
  ABSEL (Guillaume VAN), ou APSEL, ou ABSELIUS.txt | 260 mots | 1661 car. | OK
  ABSHOVEN (Ferdinand VAN).txt | 80 mots | 493 car. | OK
  ABSHOVEN (Ferdinand VAN), appelé le jeune.txt | 69 mots | 409 car. | OK
  ABSHOVEN (Thomas VAN).txt | 76 mots | 483 car. | OK
  ABSHOVEN (Thomas VAN) (1).txt | 195 mots | 1156 car. | OK
  ABTS (Wautier).txt | 89 mots | 493 car. | OK
  ACHAIRE ou ACAIRE (Saint).txt | 1095 mots | 6364 car. | OK
  ACHELEN (Igram VAN).txt | 550 mots | 3408 car. | OK
  ACHTER (François-Adrien VAN).txt | 196 mots | 1205 car. | OK
  ACHTSCHELLING (Luc), OU ACHTSCHELLINCK.txt | 118 mots | 747 car. | OK
  ACKERMAN (François).txt | 1240 mots | 7282 car. | OK
  ACKET (Jean).txt | 125 mots | 733 car. | OK
  ADALBAUD OU ADALBALDE (Saint).txt | 1229 mots | 7380 car. | OK
  ADALBÉRON, archevêque de Reims.txt | 2731 mots | 16468 car. | OK
  ADALBÉRON Ier.txt | 694 mots | 4123 car. | OK
  ADALBÉRON II.txt | 822 mots | 4989 car. | OK
  ADALBÉRON III.txt | 550 mots | 3262 car. | OK
  ADALBERT OU ADELBERT.txt | 269 mots | 1638 car. | OK
  ADALSINDE ou ADELSENDE (Bienheureuse).txt | 341 mots | 2027 car. | OK
  ADÉLAÏDE (Bienheureuse).txt | 273 mots | 1602 car. | OK
  ADÉLARD (Saint), OU ADALARD.txt | 4665 mots | 28019 car. | OK
  ADÉLARD I OU ADALARD.txt | 154 mots | 915 car. | OK
  ADÉLARD II.txt | 155 mots | 940 car. | OK
  ADELARD I.txt | 611 mots | 3556 car. | OK
  ADÉLARD II (1).txt | 318 mots | 2017 car. | OK
  ADÉLARD OU ADALARD.txt | 358 mots | 2180 car. | OK
  ADELBERT ou ALBERT, archevêque de Magdebourg.txt | 642 mots | 3987 car. | OK
  ADELBOLD ou ATHELBOLD.txt | 896 mots | 5294 car. | OK
  ADÈLE ou ADILE (Sainte).txt | 697 mots | 4117 car. | OK
  ADELHAIREOU ADELHARIUS.txt | 161 mots | 1040 car. | OK
  ADELMAN OU ADELMANNE.txt | 408 mots | 2519 car. | OK
  ADELPHRÈDE, ADELPHRIDE ou ÉDELPHRIDE.txt | 21 mots | 146 car. | ALERTE: très court
  ADELTRUDE (Sainte).txt | 186 mots | 1100 car. | OK
  ADENÈS ou ADANS.txt | 2885 mots | 16923 car. | OK
